000BCB9F	GAME_ACTION_CREWDEFENSIVE	ACTIVATE CREW MEMBER
0238EEAE	TXT_SOCL_FR_ATSCREENNAMES	Put "@" in front of any Screen Names.
0240C90E	TXT_NEWS_CARDPACK_COUNTRY_HEADER	COUNTRY PACK EXCLUSIVE OFFER
0253A154	TXT_BOOT_LOAD_GLOBALS	DATASET UPDATED
0272ABFC	NFSW_IS-F_Beauty1.0_header1	THE BEAUTY RETURNS AT NFSW!
0272ABFD	NFSW_IS-F_Beauty1.0_header2	A TRUE CAR COLLECTORS CHOICE!
0276DF46	TXT_PRFL_SPIKES_DODGED	SPIKES DODGED
028F598A	NFSW_LAMB_SECOP_HEADER1	The Fastest Cop Yet!
02906A27	CMN_OFFR_NEW_CAR	NEW CAR
02A5BB07	TXT_LUCKYBOX_SELECT_CARD	SELECT A CARD
02A8890F	GM_CATALOG_RACINGHART_STYLE03_17_25	MULTI C4 17"	
02A91570	GM_CATALOG_RACINGHART_STYLE03_18_25	MULTI C4 18"	
02A9A1D1	GM_CATALOG_RACINGHART_STYLE03_19_25	MULTI C4 19"	
02B4B41C	TXT_FILTER_ALL	ALL
02B6CAE9	GM_CATALOG_RACINGHART_STYLE03_20_25	MULTI C4 20"	
02B7574A	GM_CATALOG_RACINGHART_STYLE03_21_25	MULTI C4 21"	
02D3208E	TXT_LBL_MAPEVENT_WARPTORACE	TELEPORT
02D69851	NFSW_treasure1_header1	CONQUER YOUR HUNT!
02D69852	NFSW_treasure1_header2	THE "TREASURE HUNTER" IS HERE
02E83182	TXT_TIER_1_REQUIRED	(TIER 1 REQUIRED)
02E8F428	TXT_CHAT_LANG_ENGLISH	ENGLISH
02EA54DD	TXT_CMN_DRIVERSEARCH	DRIVER SEARCH
0317779D	TXT_POWUP_INSTANT_COOLDOWN	INSTANT COOLDOWN
034940A1	TXT_NEWS_WEEKLYCARSALES_HEADER	SELECTED CARS NOW ON SALE
036A6972	TXT_BOOSTGDT_INFO_BTN	WHAT IS ¤ BOOST?
03CA2A59	SERVERERROR_FATAL_WRONGCLIENTVERSION_TITLE	Error
03CECE1E	TXT_CHUD_TTP_RACENOW_DISABLED	Race Now is currently disabled
03E49383	TXT_PRODUCT_TAG_GIFT	GIFT
04061ECD	TXT_INSTR_PURSUIT_COOLDOWN	When you're in a Pursuit and manage to lose the Cops you enter Cooldown. If you can avoid being seen while cooling down you've Evaded; if the Cops spot you though, the Pursuit starts up again and you have to run.
0422C05F	TTRL_PERFORMANCECUSTOMIZATION_1	Every car's performance is measured by three factors: Top Speed, Acceleration and Handling.\n\nYou can install Performance parts such as a new engine or brakes to improve the overall performance.\n\nBasic parts can be purchased in the Performance Shop while better parts can be won through Lucky Draw.
0422C060	TTRL_PERFORMANCECUSTOMIZATION_2	Click to switch between the Store and your Inventory.
0422C061	TTRL_PERFORMANCECUSTOMIZATION_3	You can pick individual categories or view all available parts
0422C062	TTRL_PERFORMANCECUSTOMIZATION_4	Drag and drop a part onto the car to preview its effect.
0422C063	TTRL_PERFORMANCECUSTOMIZATION_5	The bars indicates how much the performance will change once you confirm the purchase
0422C064	TTRL_PERFORMANCECUSTOMIZATION_6	Drag and drop a part here to sell it for Cash.
0422C065	TTRL_PERFORMANCECUSTOMIZATION_7	When you're finished click here to confirm or cancel your changes.
0422C066	TTRL_PERFORMANCECUSTOMIZATION_8	Every car has the potential to reach a different maximum potential or bias. How you get there depends on the performance parts that you install.\n\nFor example, installing an engine with a higher Top Speed value will shift a car towards its Top Speed bias, while improving your ride overall.\n\nYou can install parts either from the Store or your Inventory, which contains anything you win from the Lucky Draw or Card Packs.
042BA6F8	SKILLTEXT_OVERDRIVE	Increases the range of Emergency Evade by {0:f.0}%.
043B24AF	SKILLMOD_DESC_DEMOLITION	Juggernaut strength increased by {0:s}
0468792C	TXT_CMN_LENGTH_METERS	{0:d} M
046BF8A6	MSG_COPSNROBBERS_SCORE_FOR_ROBBERS	{1} SCORES FOR THE ROBBERS!\n
04817954	TTRL_FIRSTRACE_1_HDR	YOUR FIRST RACE
04938B28	TXT_CMN_NO_WAY	DO NOT DELETE DRIVER
04A74535	CMN_OFFR_RED_PRICE	REDUCED PRICE
04AD8D0C	SKILLNAME_ROLLING_FORTRESS	ROLLING FORTRESS
04CDF2C8	NFSW_trailer_header1	NEED FOR SPEED WORLD EXCLUSIVE TRAILER!
04CDF2C9	NFSW_trailer_header2	CHOOSE YOUR CAR AND GO RACING!
04CDF2CA	NFSW_trailer_header3	OFFICIAL NEED FOR SPEED WORLD TRAILER!
04CDF2CB	NFSW_trailer_header4	CHOOSE YOUR CAR AND START RACING!
04F24B88	CAR_MDL_370ZROADSTER	370Z ROADSTER TOURING W/SPORT PKG.
04F96603	REWARD_TYPE_SkillMod_TOKEN	SKILL MOD BONUS {0:$}
050920B7	DRIVERSKILL_EXTENDED_NOS_1_DESC	Increases Nitrous burn time by 25%.
0516620C	TXT_CHUD_TTP_RACENOW_CANCEL	CANCEL SEARCH
0520B1FD	PROGRESSION_AMP_REP	REP BOOST {0:f.0}
05298128	TXT_NEWS_TOOLTIP_TOPSPEED	Highest Top Speed clocked in a race
053009AF	TXT_TLTP_AUDSET_SPEECHVOL	COP SPEECH VOLUME
05433FB2	CMN_OFFR_BEST_VALUE	BEST VALUE
055A68C1	TTRL_CARDEALER_3_HEADER	VIEW CAR PARTS
0565ECA6	TXT_NEWS_PROGRESSION_ACCELERATION_HEADER	LEVEL UP FASTER WITH INCREASED REWARDS!
058F7882	TXT_BOOT_INIT_RENDERING	RENDERING MATRICES ONLINE
05C05F63	TXT_TLTP_RCEGDT_CNDTNS	CONDITIONS FOR WINNING
05C90AC5	TXT_OPTNS_AUD_MUTE	MUTE ALL
05CFDB11	TXT_CMN_PRIVATE_PURSUIT	PRIVATE ESCAPE
05D9AE18	TXT_NEWS_TIER3_TRANSMISSIONPACK_SHORT	Tier 3 Transmission Pack now on sale!
05EFFBDE	TXT_POPUP_NEED_MORE_CASH_TITLE	NEED MORE CASH
060908C2	TXT_PRFL_TOT_MONEY_WON	TOTAL MONEY WON
06106E04	ABBR_CUST_PAINT_GROUP_IRIDESCENT	IRIDESCENT
0614DABB	TXT_OPTNS_VID_CARDETIL	CAR DETAIL
0619A277	TXT_CMN_REQUESTS	REQUESTS
06356E6D	TXT_NO_CARS_MATCHING	NO CARS MATCHING THE CURRENT FILTERS
0656D8BE	PRESETCAR_DESCRIPTION_CHARGER69_BASE_0	GREEN
0656D8C0	PRESETCAR_DESCRIPTION_CHARGER69_BASE_2	RED
0656D8C3	PRESETCAR_DESCRIPTION_CHARGER69_BASE_5	BLACK
0656D8C4	PRESETCAR_DESCRIPTION_CHARGER69_BASE_6	GREY
0656D8C6	PRESETCAR_DESCRIPTION_CHARGER69_BASE_8	YELLOW
0664A39D	TXT_CMN_OPTIONS_BTN_T	T
0664A3A3	TXT_CMN_OPTIONS_BTN_Z	Z
066C2623	NFSW_FORD_TSIT_HEADER1	Can't Outrun this Cop!
068F287B	TOOL_TIP_WALDO_SCALE_Y_RIGHT	SCALE Y RIGHT
06A43849	TXT_THUNT_COMPLETE	TREASURE HUNT COMPLETED
06C62CF3	NFSW_BMW_1M_Coupe_header1	OUTSTANDING POWER DELIVERY!
06C62CF4	NFSW_BMW_1M_Coupe_header2	STICKS HARD AND GOES FAST!
06CB618B	TXT_POPUP_ACCPTFRNDFAILED	AN ERROR HAS OCCURED WITH THIS FRIEND REQUEST ACCEPTANCE.\NPLEASE TRY AGAIN.
06CF26C8	TXT_CMN_STEER_LEFT	STEER LEFT
06D58D00	TXT_CMN_RACETYPE_LOW_LEVEL	(LOW LEVEL)
06F2C2A3	TXT_TIER_2_REQUIRED	(TIER 2 REQUIRED)
06FE80A6	TXT_HELP_POWERUP_RUNFLATS	Runflats automatically restore any tires you might have blown during a Police Pursuit.
0752CB47	TXT_NEWS_TIER1_TRANSMISSIONPACK	The Tier 1 Transmission Pack is now on sale in the Card Pack store for a limited time only. Hurry and purchase it now! [0:l0]
0757FB85	TTRL_FREEROAM_1	Welcome to the the massive open world known as Free Roam.\n\nThe entire world is free for you to explore, and you will meet other street racers as you drive around. Right-click on any car with a Driver name to interact with them.\n\nAfter completing an event, you will automatically return to Free Roam.
076B63FF	POSTRACE_ENDS_IN	RACE ENDS IN...
078DD486	TXT_NO_PERFORMANCE_UPGRADES	THIS CAR HAS NO AVAILABLE UPGRADES
07A0A321	VOICE_FONT_ELF	*ELF VOICE
07A0C1E0	VOICE_FONT_M2W	*MAN TO WOMAN
07A0EC60	VOICE_FONT_W2M	*WOMAN TO MAN
07A57203	NFSW_Jaguar_XKR_header1	SUPERCHARGED AND READY TO POUNCE!
07A57204	NFSW_Jaguar_XKR_header2	T2 PERFORMANCE ON A NEW LEVEL!
07A6639F	TXT_FRIEND_RANKING_TRS_FORMAT	{0:s} TOP RACE SPEED IS {1:s}
07AED4CE	CMN_OFFR_BUNDLE_OFFR	BUNDLE OFFER
07B4192C	TXT_NEWS_TIER1_FORCEDINDUCTIONPACK_SHORT	Tier 1 Forced Induction Pack now on sale!
07F2C956	TXT_CMN_COMPARISON	COMPARISON
07F2FA8E	TXT_NEWS_SALE_SPEEDBOOST25PERCENT	Sale time! Get 25% more SpeedBoost for any amount purchased. Offer is for a limited time only, so take advantage of this amazing deal right now!
0814613F	POSTRACE_PLAYER_RACING	STILL RACING...
0817F521	TXT_CMN_TIMES_UP	TIMES UP!
082170C7	SKILLTEXT_COOLDOWN	Decreases the time required to escape a pursuit by {0:f.0}%. 
08344FF2	TXT_TLTP_PRFGD_PRFNTYFAIL	MESSAGE NOT ALLOWED: PLEASE TRY ANOTHER
087D29FC	CMN_CONTACTING_SERVER	CONTACTING SERVER...
08B0578D	TXT_CNM_ZONE_SUSPENSION	SUSPENSION
0916D5C8	SKILL_SELECTION_SKILL_POINT_REQUIRED_EXPLORE	REQUIRES {0:d} POINTS INVESTED IN EXPLORE
092D2FAA	GM_CATALOG_IFORGED_STYLE01_17_25	AERO 17"	
092DBC0B	GM_CATALOG_IFORGED_STYLE01_18_25	AERO 18"	
092E486C	GM_CATALOG_IFORGED_STYLE01_19_25	AERO 19"	
093B7184	GM_CATALOG_IFORGED_STYLE01_20_25	AERO 20"	
093BFDE5	GM_CATALOG_IFORGED_STYLE01_21_25	AERO 21"	
093D2461	CUST_VISUAL_ZONE_WINDOW_TINT	WINDOW TINT
09A1F6E7	TTRL_REPAIRS_1_HDR	REPAIRING YOUR CAR
09B40F68	TTRL_REPAIRS_2_HDR	VIEW DURABILITY
09C627E9	TTRL_REPAIRS_3_HDR	REPAIR WITH CASH
09D8406A	TTRL_REPAIRS_4_HDR	BUY INSURANCE
0A0BE63D	TXT_PAINT_SHOP_TIP_TEXT_SELECT_PAINT	SELECT A PAINT IN THE INVENTORY TO MIX IT IN THE COLOR MIXER
0A1D70E1	TXT_RACEGDT_DECLNBTN	DECLINE
0A3B4675	TXT_NEWS_CASH_AMP_EXPIRED_SHORT	Cash Amplifier expired
0A440CD3	NFSW_Evora_COP_header1	THE HIGHWAY PATROL ENFORCER!
0A440CD4	NFSW_Evora_COP_header2	SOLID PERFORMANCE IN A V6!
0A555040	TEXT_STREAK_REWARD_FOOTER_TITLE	CONGRATULATIONS, YOU WON
0A6304BC	NFSW_TYTM_SPEC_HEADER	Take Down the Competition!
0A682A5E	LBL_SELECT_DRIVER_PIC	SELECT A DRIVER PICTURE
0A68AA56	TLE_SPEED_BOOST_TUTORIAL_FINISHED	SPEEDBOOST TUTORIAL COMPLETE
0A6D1092	TXT_POPUP_VOIP_UNAVAILABLE	*VOICE COMMUNICATION CURRENTLY IS NOT AVAILABLE. YOU CAN COMMUNICATE WITH THE GROUP USING CHAT MESSAGES.
0A9152FE	NFSW_DOD_CHGR_HEADER	Muscle.  Power. Performance.
0AA53B5B	TTRL_CARDEALER_1_TEXT	Use these filters to narrow down the cars listed below.
0AC4AFF4	LOADING_TXT_TIPSANDHINTS	TIPS AND HINTS
0AFD53C4	TXT_TIER_3_REQUIRED	(TIER 3 REQUIRED)
0B2395AC	TXT_OPTNS_AUD_SURROUND	SURROUND
0B3D98A2	TXT_ENTER_DESCRIPTION_HERE	Please give some details why you want to report this driver.
0B3DAC2D	TXT_CMN_RACETYPE_MEETINGPLACE_LOW_LEVEL	MEETING PLACE (LOW LEVEL)
0B5791D3	CUST_VISUAL_ZONE_WHEELS	WHEELS
0B9031DC	TXT_TUTRL_BDY_WORLDMAP	The World Map is a great way to look for new Races and check out the current location of other drivers. Races are shown as blue icons while other drivers appear as orange icons. Press 'M' to open the Map.
0BD8EF27	TXT_NEWS_CARDPACK_TUNER_50OFF_HEADER	50% OFF TUNER PACK EXCLUSIVE SALE
0C0D8D69	TXT_NEWS_RARE_ITEM_WON_LUCKYDRAW_SHORT	Rare part won by friend
0C2E1122	TXT_ACH_SPEED_FORMAT	{0:s} {1:s}
0C2F3598	TXT_OPTNS_AERO	DISABLE WINDOWS AERO
0C3AE2EF	TXT_OPTNS_VOIP	VOICE CHAT
0C62EE7A	TXT_LEVLUP_SKILLAQUIRD	YOU ACQUIRED A NEW DRIVER SKILL
0C6ECD7C	TXT_OPTNS_AERO_TEXT	DISABLE WINDOWS AERO EFFECT FOR BETTER PERFORMANCE
0CA05549	TXT_BOOT_INIT_GAMEPLAY_ENGINE	BEHAVIOR ENGINE ONLINE
0CA7046F	TXT_TLTP_VIDSET_TEXTUREFILT	IMPROVES VISUAL QUALITY OF TEXTURES
0CB6A80B	TXT_RACEGDT_JOINBTN	JOIN
0CDD7A55	NFSW_TXT_SKYSCRAPER_DIAGONAL_BANNER	Happy Birthday!
0CFA63FC	TTRL_CARDEALER_2_TEXT	Each style has its own performance, visuals and price.
0D25D5BF	TXT_CMN_REGION	REGION
0D29D961	TXT_CMN_RENTAL	RENTAL CAR
0D2C3719	TTRL_FIRSTCAR_1_V2	You can't be a street racer without your own car.\n\nAs you play the game you'll be able to own lots of amazing cars to race and customize.\n\nWe've given you some free Cash to start with, so let's go ahead and buy your first car.
0D2E7A20	TXT_CMN_REWARD	REWARD
0D38C571	HDR_SELECT_A_CAR	SELECT A CAR
0D9276E0	NFSW_R8_Classic_header1	COMMAND THE ROAD NOW AT NFSW!
0D9276E1	NFSW_R8_Classic_header2	A 525 HORSEPOWER ROAD BEAST
0D9322B3	BDY_POPUP_COMMON_INVENTORY_IS_FULL	INSUFFICIENT SPACE IN YOUR INVENTORY. PLEASE RETURN TO YOUR SAFEHOUSE AND SELL SOME PARTS FIRST.
0D9591CD	NFSW_corvette_67_header1	LEGENDARY TRI-POWER 427! 
0D9591CE	NFSW_corvette_67_header2	MOST SOUGHT-AFTER CORVETTE!
0DB48EF1	TXT_NEWS_UNOPENEDGIFT_SHORT	Unopened gift available
0DBE90AC	NFSW_P4F_CDTS_Header1	Play 4 Free Countdown to Summer
0DBE90AD	NFSW_P4F_CDTS_Header2	A Week of Give Aways!
0DC2678B	TXT_OPTNS_VID_ADVNVIDSET	ADVANCED VIDEO SETTINGS
0DD80143	TTRL_FIRSTCAR_V2_3_HEADER	VIEW CAR INFO
0DDB28C6	NFSW_GTIMK1_AD_header1	RACE TO VICTORY WITH THE GTI!     
0DDB28C7	NFSW_GTIMK1_AD_header2	EMBRACE THE VDUB LIFESTYLE!
0DE9ACBC	CUST_VISUAL_ZONE_SPOILERS	SPOILERS
0DEB6173	TXT_NEWS_UNOPENEDGIFT_VINYL	You have received a vinyl category as a gift! Visit the Vinyl Shop in your Safehouse now to redeem it. [0:g]
0DEC7431	TXT_BTN_SELL	SELL
0DF1E1FD	LBL_ENTER_WORLD	ENTER WORLD
0DF8B8BC	NFSW_boxster_header1	THE PORSCHE BOXSTER SPYDER IS HERE
0DF8B8BD	NFSW_boxster_header2	NFS WORLD'S FIRST ROADSTER
0DFD5BE1	LBL_BUYCAR_BTN	BUY THIS CAR
0E1DC057	TXT_NEWS_UNOPENEDGIFT_CAR	You have received a car as a gift! Visit the Purchase Car screen in your Safehouse now to redeem it. [0:g]
0E267A17	TXT_POPUP_BUYPERFORMANCEUPGRADEFAIL_INVALIDBASKET	INVALID BASKET
0E2F15F5	TXT_CXMU_TELEPTTOFRND	TELEPORT TO FRIEND
0E307873	TXT_TUTRL_WELCTONFSWO	Need For Speed World is a massively-multiplayer online action driving game for the PC where you can race with your friends or compete against thousands of other players in a seamless open world. Show off your styling skills with a customized car or take to the road and become a street-racing hero. 
0E4C5FD4	REWARD_TYPE_None_TOKEN	{0:$}
0E50A0AB	REWARD_TYPE_Busted_TOKEN	BUSTED PENALTY {0:$}
0E5153D0	TXT_CONFIRM_BUY_CAR	ARE YOU SURE YOU WANT TO BUY THIS CAR?
0E51AC12	TXT_ACHIEVEMENT_RARITY_FORMAT_RARE	<font color='#F7C12F'>{0:f.1}% OF PLAYERS HAVE THIS ACHIEVEMENT [RARE]</font>
0E602841	TXT_TLTP_RCEGDT_PURSUIT_TIME_LIMIT	PURSUIT EVADE TIME LIMIT
0E646E86	TXT_OPTNS_GPL_IMPERIAL	IMPERIAL
0E870125	NFSW_DODG_CNCP_HEADER	A New Cop on the Beat!
0EE948F9	TXT_RESULTS_SUGGSALE_NOS	You never know when you'll need a quick burst of speed so always keep your Nitrous supply full. 
0F064598	HDR_CMN_EXPLORE	EXPLORE
0F07E4E5	TXT_TIER_4_REQUIRED	(TIER 4 REQUIRED)
0F216994	TLE_POPUP_SALE_CAR_FAILED	UNABLE TO SELL CAR
0F2274DB	TXT_FLSHR_HURRYUP	HURRY UP!
0F26C5E7	OFFLINE_FACEBOOK_PROMO	LIKE US ON FACEBOOK FOR A CHANCE TO WIN DAILY PRIZES!
0F37D0D1	LBL_RATING_OVERALL	OVERALL:
0F449E9E	TXT_TLTP_VOIP_OUTPUT_DEVICE	SELECT VOICE OUTPUT DEVICE
0F4F8C9D	TTRL_CARDEALER_3_TEXT	All pre-installed parts are shown here. Mouseover for more details.
0F68B593	NFSW_BENT_CONV_HEADER1	Simply Stunning!
0F68B594	NFSW_BENT_CONV_HEADER2	Taking Style & Class to a New Level
0F6B51EA	TLE_POPUP_VINYL_SHOP_ERROR	VINYL SHOP ERROR
0F77D8D1	TXT_CMN_SEARCH	SEARCH
0FAE655D	TXT_SYSCHT_EVENTCHAT	Event channel selected.
0FB645E9	LBL_RENTAL_PACKAGE	PACKAGE
0FC1D1C2	NFSW_NISS_SKYZ_HEADER1	Class S Street Racer
0FD642F4	TTRL_CARDEALER_1_HDR	CAR DEALER
0FDF4C32	MSG_PUP_EVADE_SPECTATOR	EMERGENCY EVADE!
0FE4407C	GM_CATALOG_CL_STYLE04_17_25	VIKING 17"	
0FE4CCDD	GM_CATALOG_CL_STYLE04_18_25	VIKING 18"	
0FE5593E	GM_CATALOG_CL_STYLE04_19_25	VIKING 19"	
0FE8B68D	TXT_CMN_SKILLS	SKILLS
0FF28256	GM_CATALOG_CL_STYLE04_20_25	VIKING 20"	
0FF30EB7	GM_CATALOG_CL_STYLE04_21_25	VIKING 21"	
0FF6FECC	TXT_COMMONHUD_WORLD_MAP	The easiest way to find new races is on the World Map. Click here or press M
1004B22E	TXT_RESULTS_SUGGSALE_INSTANT_COOLDOWN	Use the Instant Cooldown to evade the Cops when in the Cooldown stage of a Pursuit.
100C9E53	CMN_MISSION_DAILY_GEMS_COMPLETE	ALL GEMS PICKED UP
100E9E2E	TXT_MAP_CLASSICON_UNLOCKED	OPEN EVENT: ANY CAR CAN JOIN THE EVENT\nCLASS EVENT: USE A CAR BELONGING TO THIS CLASS
104813FB	TXT_CMN_SPRINT	SPRINT
105429E0	TXT_LUCKYBOX_GO_TO_PERFORMANCE_PARTS	GO TO THE PERFORMANCE PARTS SCREEN TO SELL SOME OF YOUR INVENTORY
10583C8B	CAR_MAKE_INFINITI	INFINITI
105C0832	NFSW_ARTIM_SALETEXT_1	Special Offer
105C0833	NFSW_ARTIM_SALETEXT_2	Exclusive Offer
106FD18B	GAME_ACTION_SHIFTFOURTH	FOURTH
10825BE5	TXT_SERVER_VERSION_INFO	Server version {0:s}
1084856B	GM_CATALOG_HRE_STYLE03_17_25	549R 17"	
108511CC	GM_CATALOG_HRE_STYLE03_18_25	549R 18"	
10859E2D	GM_CATALOG_HRE_STYLE03_19_25	549R 19"	
1092C745	GM_CATALOG_HRE_STYLE03_20_25	549R 20"	
109353A6	GM_CATALOG_HRE_STYLE03_21_25	549R 21"	
10A13AE0	NFSW_959_community_Header1	CELEBRATING OUR 1 YEAR ANNIVERSARY!
10A13AE1	NFSW_959_community_Header2	ENJOY THIS CUSTOM PORSCHE 959!
10A40A0B	CMN_OFFR_BY_DEMAND	BACK BY POPULAR DEMAND
10A41C09	MSG_PUP_NOS	NITROUS!
10AF081A	TXT_RENTAL_PACKAGE_INFO	This car will instantly become your active car. Your current car will return to your garage.
10E84576	NFSW_PORCAR_GT_HEADER1	NFS World's First SUPERCAR!
10E84577	NFSW_PORCAR_GT_HEADER2	A True Porsche Supercar!
10EBAA80	TXT_CMN_SYSTEM	SYSTEM
11124417	ALL_CHARACTERS	GE: aäbcdefghijklmnoöpqrsßtuüvwxyzAÄBCDEFGHIJKLMNOÖPQRSTUÜVWXYZ  \nFR: aàâäbcçdeéèêëfghiîïjklmnoôöpqrstuùûüvwxyzAÀÂÄBCÇDEÉÈÊËFGHIÎÏJKLMNOÔÖPQRSTÙÛÜVWXYZ  \nPL: abcdefghijklmnoópqrstuwxyzABCDEFGHIJKLMNOÓPQRSTUVWXYZ   \nRU: ÌÐÒÕ×ØÝÞãåæìðòõ÷øþÿ¢£¥¦§¨ª¬­¯°±²³´µ¶·¸¹º¼½¾ÅÆ   \nSP: aábcdeéfghiíjklmnñoópqrstuúüvwxyzAÁBCDEÉFGHIÍJKLMNÑOÓPQRSTUÚÜVWXYZ   \nPunctuation: ¿ ? , . ;  : ¡ ! " " () «»  ¤
11271981	TXT_CAR_PRESET_CAYMANS_1	VARIANT 1
11271982	TXT_CAR_PRESET_CAYMANS_2	VARIANT 2
11271983	TXT_CAR_PRESET_CAYMANS_3	VARIANT 3
114564A1	TXT_OPTNS_VID_WINDOWMDE	WINDOWED MODE
115ED9AF	TXT_NEWS_RANKING_COSTTOSTATE_SHORT	Eclipsed by friend in rankings
11A4B53E	TTRL_CARDEALER_4_TEXT	Click to purchase with Cash or SpeedBoost as listed here.
11AA1112	TXT_INSTR_COOLDOWN	When you're in a Pursuit and manage to lose the Cops you enter Cooldown. If you can avoid being seen while cooling down you've Evaded; if the Cops spot you though, the Pursuit starts up again and you have to run.
12535E61	GM_CATALOG_ADR_STYLE01_17_25	EMPIRE 17"	
1253EAC2	GM_CATALOG_ADR_STYLE01_18_25	EMPIRE 18"	
12547723	GM_CATALOG_ADR_STYLE01_19_25	EMPIRE 19"	
1261A03B	GM_CATALOG_ADR_STYLE01_20_25	EMPIRE 20"	
12622C9C	GM_CATALOG_ADR_STYLE01_21_25	EMPIRE 21"	
12873C6F	TXT_CMN_TOKENS	CASH
12883A2D	MSG_PUP_EVADE_SUBJECT	EMERGENCY EVADE!
128F7D10	TXT_LBL_RANKINGS_COSTTOSTATE	COST TO STATE\n({0:s})
12910E8A	REWARD_TYPE_TeamStrikeBonus_REP	CLEAN RUN {0:f.0}
12BD8687	GM_CATALOG_VOLK_STYLE02_17_25	CE28 17"	
12BE12E8	GM_CATALOG_VOLK_STYLE02_18_25	CE28 18"	
12BE9F49	GM_CATALOG_VOLK_STYLE02_19_25	CE28 19"	
12CBC861	GM_CATALOG_VOLK_STYLE02_20_25	CE28 20"	
12CC54C2	GM_CATALOG_VOLK_STYLE02_21_25	CE28 21"	
12D09EE6	TXT_POPUP_BLOCKCMPLETE	{0:s}\n\nAND THAT USER'S OTHER DRIVERS HAVE BEEN ADDED TO YOUR BLOCKED LIST.
1302BC17	TTRL_CARDEALER_1	All your cars are stored here in the Car Dealer.\n\nAs you level up, more cars are unlocked and available in the Purchase car area. Earn the Cash needed by winning races or evading pursuits.\n\nYou can sell off any car you own to get some Cash back. Note: if you only own one car, it cannot be sold.
130E1C35	CMN_OFFR_TIME_LIMIT	TIME-LIMITED OFFER
1318AAD7	CMN_CHANGE_CAR	CHANGE CAR
1333CB3E	NFSW_SHLB_DYTA_VINT_HEADER	Extremely Rare Vintage Racer!
1351358E	NFSW_MCBZ_SLSM_HEADER	Mercedes Benz Returns!
136E857F	DEBUG_UNLOCALIZED	UNLOCALIZED STRING
13751BE8	TTRL_PURSUITREWARDS_1	You get better rewards for successfully evading a Pursuit which has the following:\n\n- Long pursuit duration\n- High heat level\n- Pursuit Milestones achieved\n\nPursuit Milestones are achieved as you rack-up high Cost -to-State claims, disable more Cops, dodge spike strips etc.
1389B86B	CAR_MDL_GT	GT
1389B9BA	CAR_MDL_R8	R8 4.2 FSI QUATTRO
1389B9D8	CAR_MDL_S5	S5
1389BABE	CAR_MDL_Z4	Z4 M COUPE
138D81CB	TXT_NEWS_FRIEND_REQUEST_2	[0:l4] has requested to be your Friend. <br/>[1:l7]/[2:l8]
13CFB019	TXT_COLOUR_BLUE	BLUE
